"Author..Citation.","Sample.ID","Total.Length..cm.","Total.Weight..g.","Sex.Ratio","Maturity","Revised_Maturity","Age..Years.","d13C","d15N","Waterbody","Water_Level","Waterbody_Type","Region","Location","Latitude","Longitude","Latitude.2","Longitude.2","Class","Species","Revised_Species","Trophic_Level","Tissue","Revised_Tissue","Composite","N","n_1","Collection.Date","Season","Sampling.Year","PFOS","PFDS","PFEtCHxS","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFPeDA"
"#1 Su et al (2017)","14-PIT-HG-10",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,69.8,0.35,0.337,4.47,3.92,5.98,2.68,7.24,2.02,NA
"#1 Su et al (2017)","14-PIT-HG-11",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,48.5,0.24,0.09,3.27,2.88,3.96,1.54,4.79,1.37,NA
"#1 Su et al (2017)","14-PIT-HG-12",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Connecting channel",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Herring gull","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,410.2,6.75,0.404,2.75,10.6,13,6.23,12.2,4.19,NA
"#1 Su et al (2017)","14-SBCR-CT-01",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,1367,18.2,1.05,15.6,65.7,67.4,13.4,14.9,3.5,NA
"#1 Su et al (2017)","14-SBCR-CT-03",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,227.4,3.39,0.337,7.58,14.3,15.3,3.98,5.39,1.36,NA
"#1 Su et al (2017)","14-SBCR-CT-04",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,525.4,6.21,1.05,9.21,34.9,35.8,10.4,8.37,2.07,NA
"#1 Su et al (2017)","14-SBCR-CT-06",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,448.9,7.51,0.575,10.4,26.8,32.6,8.35,11.41,3.1,NA
"#1 Su et al (2017)","14-SBCR-CT-07",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,319.3,4.82,0.387,9.98,19.8,27.6,6.95,9.4,1.98,NA
"#1 Su et al (2017)","14-SBCR-CT-08",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,412.8,7.3,0.224,5.3,42.2,44.9,17.9,12.7,4.86,NA
"#1 Su et al (2017)","14-SBCR-CT-10",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,113.8,1.89,0.134,1.76,9.14,10.61,3.2,4.08,1.13,NA
"#1 Su et al (2017)","14-SBCR-CT-11",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,805.4,10.9,0.879,8.58,47.3,57.1,16.9,16.5,3.77,NA
"#1 Su et al (2017)","14-SBCR-CT-12",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,872.6,11.6,0.745,13.3,49.1,57.7,11.6,13.9,2.5,NA
"#1 Su et al (2017)","14-SBCR-CT-13",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,562.2,13,0.439,5.99,30.7,38.8,13.8,12,2.87,NA
"#1 Su et al (2017)","14-SBCDF-CT-01",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,1906,24.4,1.11,16.6,91.1,99.4,22.9,23.1,5.65,NA
"#1 Su et al (2017)","14-SBCDF-CT-03",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,627,9.12,0.509,9.15,41.5,44.9,13.1,11.5,2.98,NA
"#1 Su et al (2017)","14-SBCDF-CT-04",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,1967,33,0.49,9.57,83.3,81.5,24.2,18.1,6.44,NA
"#1 Su et al (2017)","14-SBCDF-CT-05",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,4655,31.1,1.25,26.9,219.4,118.1,95.9,26.1,19.3,NA
"#1 Su et al (2017)","14-SBCDF-CT-06",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,411.4,7.41,0.908,4.81,33.4,38.1,11.3,8.58,2.49,NA
"#1 Su et al (2017)","14-SBCDF-CT-08",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,760.9,13.3,0.356,9.68,49.6,49.8,18.3,13,4.37,NA
"#1 Su et al (2017)","14-SBCDF-CT-09",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,1116,13.9,0.582,10.04,49.8,45.7,9.23,9.25,2.4,NA
"#1 Su et al (2017)","14-SBCDF-CT-10",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,958.9,17.5,0.573,8.84,47.6,58.1,13.4,14.2,2.87,NA
"#1 Su et al (2017)","14-SBCDF-CT-12",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,336.6,4.45,0.471,4.05,18.8,21,4.78,4.5,1.1,NA
"#1 Su et al (2017)","14-SBCDF-CT-13",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.3,"Lake",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Caspian tern","Piscivorous/Insectivorous Bird","Eggs","Eggs","No",1,1,NA,NA,2014,1208,13.6,1.84,15.5,59.6,59.5,10.2,11,2.29,NA
"#10 Chu et al (2016)","LT NCLH 1",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.11,"Lake","North Channel Lake Huron","North Channel",45.91666667,-83.5,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,57.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT NCLH 2",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.11,"Lake","North Channel Lake Huron","North Channel",45.91666667,-83.5,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,55.36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT NCLH 3",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.11,"Lake","North Channel Lake Huron","North Channel",45.91666667,-83.5,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,79.28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT OSCR 1",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.11,"Lake","Georgian Bay","Owen Sound-Cape Rich",44.7,-80.58333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,54.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT OSCR 2",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.11,"Lake","Georgian Bay","Owen Sound-Cape Rich",44.7,-80.58333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,14.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT OSCR 3",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Huron",176.11,"Lake","Georgian Bay","Owen Sound-Cape Rich",44.7,-80.58333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,56.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT PHC 1",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.87,"Lake","Central Basin Lake Ontario","Port Hope-Cobourg",43.91667,-78.16667,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,52.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT PHC 2",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.87,"Lake","Central Basin Lake Ontario","Port Hope-Cobourg",43.91667,-78.16667,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,45.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT PHC 3",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.87,"Lake","Central Basin Lake Ontario","Port Hope-Cobourg",43.91667,-78.16667,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,53.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT PC 1",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.87,"Lake","Western Basin Lake Ontario","Port Credit",43.5,-79.58333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,54.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT PC 2",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.87,"Lake","Western Basin Lake Ontario","Port Credit",43.5,-79.58333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT PC 3",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.87,"Lake","Western Basin Lake Ontario","Port Credit",43.5,-79.58333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,67.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT NOTL 1",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.67,"Lake","Niagara Basin","Niagara on the Lake",43.3333,-79.08333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,57.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT NOTL 2",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.67,"Lake","Niagara Basin","Niagara on the Lake",43.3333,-79.08333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,47.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT NOTL 3",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.67,"Lake","Niagara Basin","Niagara on the Lake",43.3333,-79.08333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,65.53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT EB 1",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.67,"Lake","Eastern Basin Lake Ontario","Eastern Basin",43.5,-76.5,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,76.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT EB 2",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.67,"Lake","Eastern Basin Lake Ontario","Eastern Basin",43.5,-76.5,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,75.29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT EB 3",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",74.67,"Lake","Eastern Basin Lake Ontario","Eastern Basin",43.5,-76.5,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,80.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT D 1",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Erie",174.25,"Lake","Eastern Basin Lake Erie","Dunkirk",42.54222,-79.38167,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,105.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT D 2",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Erie",174.25,"Lake","Eastern Basin Lake Erie","Dunkirk",42.54222,-79.38167,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,89.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","LT D 3",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Erie",174.25,"Lake","Eastern Basin Lake Erie","Dunkirk",42.54222,-79.38167,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2009,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","TP WB 1",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Erie",174.06,"Lake","Western Basin Lake Erie","Western Basin",41.8916667,-82.66666667,NA,NA,"Pisces","Trout-perch","Trout-perch","Secondary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,12.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","TP WB 2",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Erie",174.06,"Lake","Western Basin Lake Erie","Western Basin",41.8916667,-82.66666667,NA,NA,"Pisces","Trout-perch","Trout-perch","Secondary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,9.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#10 Chu et al (2016)","TP WB 3",NA,NA,NA,NA,NA,NA,NA,NA,"Lake Erie",174.06,"Lake","Western Basin Lake Erie","Western Basin",41.8916667,-82.66666667,NA,NA,"Pisces","Trout-perch","Trout-perch","Secondary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,NA,NA,2010,9.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#11 Furdui et al (2007)","18466",62.5,2779.8,1,"Adult (Sexually Mature)","Adult (Reproductive)",4,NA,NA,"Lake Erie",173.91,"Lake",NA,"South Of Long Point",42.5,-80.08333333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,"9/1/01","Summer",2001,115.32,16.02,NA,2.52,4.23,4.56,1.46,5.51,3.4,2.05
"#11 Furdui et al (2007)","18467",57.9,2335.2,1,"Adult (Sexually Mature)","Adult (Reproductive)",4,NA,NA,"Lake Erie",173.91,"Lake",NA,"South Of Long Point",42.5,-80.08333333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,"9/1/01","Summer",2001,106.6,11.56,NA,2.35,3.84,3.61,1.15,4.6,1.1,1.52
"#11 Furdui et al (2007)","18468",57,2503.7,0,"Adult (Sexually Mature)","Adult (Reproductive)",4,NA,NA,"Lake Erie",173.91,"Lake",NA,"South Of Long Point",42.5,-80.08333333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,"9/1/01","Summer",2001,117.12,7.97,NA,2.56,4.85,2.97,0.78,2.48,0.64,0.00654268430305729
"#11 Furdui et al (2007)","18469",62,2719,0,"Adult (Sexually Mature)","Adult (Reproductive)",4,NA,NA,"Lake Erie",173.91,"Lake",NA,"South Of Long Point",42.5,-80.08333333,NA,NA,"Pisces","Lake trout","Lake trout","Quaternary Consumer","Whole fish homogenate","Whole organism homogenate","No",1,1,"9/1/01","Summer",2001,81.41,5.51,NA,2.15,3.94,2.37,0.6,2.18,0.73,0.3
