"Author..Citation.","Sample.ID","Total.Length..cm.","Total.Weight..g.","Sex.Ratio","Maturity","Age..Years.","d13C","d15N","Waterbody","Region","Location","Latitude","Longitude","Latitude.2","Longitude.2","Class","Species","Tissue","n_samples","n_indiv","Collection.Date","Sampling.Year","PFBS","PFHxS","PFOS","PFDS","PFEtCHxS","FBSA","PFOSA","NMeFOSA","NEtFOSA","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFHxDA","PFODA","PFPeDA","X8.2.FTUCA","X10.2.FTUCA","X6.6.PFPIA","X6.8.PFPIA","X6.2.diPAP","X8.2.diPAP","PFHpS","Gen.X","PFPrS","PFPeS","PFNS","Cl.PFOS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X6.2.FTCA","X8.2.FTCA","X10.2.FTCA","X6.2.FTOH","X8.2.FTOH","X10.2.FTOH","NMeFOSE","NEtFOSE","X8.2.Cl.PFESA","ADONA","X6.2.Cl.PFESA","NEtFOSAA","NMeFOSAA","PFDoS","X8.8.PFPIA","X6.10.PFPIA","X8.10.PFPIA","X6.12.PFPIA","X3.3.FTCA","X5.3.FTCA","X7.3.FTCA","FHUEA","FOUEA","FDUEA","FHxSA","NMeFBSA","FOSAA","X10.2.FTSA","PFHxPA","PFOPA","PFHxSAm","PFOSAm","PFHxSAmS","PFOSAmS","PFOANO","PFOSNO","PFOAB","PFOSB","X5.3.FTB","X5.1.2.FTB","X6.2.FTAB"
"#1 Su et al (2017)","14-PIT-HG-01",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.201","111.3","0.645","0.163","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.164","4.16","5.68","7.84","2.73","7.84","2.04","0.013","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-02",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.596","231","2.72","0.494","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.48","7.5","11.2","14.6","5.11","6.39","3.19","0.075","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-03",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.111","80.7","0.659","0.07","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.178","1.78","3.27","4.77","1.76","4.96","1.49","<0.01","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-05",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.407","170.8","2.81","0.239","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.391","5.68","7.32","10.4","4.14","10.7","3.33","0.091","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-06",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.496","289.4","3.51","0.5","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.355","5.74","9.63","14.8","5.92","12","3.4","0.053","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-08",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.317","72","0.293","0.121","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.292","2.7","3.66","5.77","2.26","6.6","1.9","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-09",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.702","162.3","2.28","0.367","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.446","3.89","7.99","14.8","8.54","14.5","4.76","0.095","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-10",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.539","69.8","0.35","0.337","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.523","4.47","3.92","5.98","2.68","7.24","2.02","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-11",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.149","48.5","0.24","0.09","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.242","3.27","2.88","3.96","1.54","4.79","1.37","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-PIT-HG-12",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Pipe Island Twin",46.03304964,-83.88060949,NA,NA,"Aves","Herring gull","Eggs",1,1,NA,2014,"<0.014","0.297","410.2","6.75","0.404","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.412","2.75","10.6","13","6.23","12.2","4.19","0.012","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-01",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","1.23","1367","18.2","1.05","<0.002","0.046","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.251","15.6","65.7","67.4","13.4","14.9","3.5","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-03",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.734","227.4","3.39","0.337","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","3.02","7.58","14.3","15.3","3.98","5.39","1.36","0.018","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-04",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.176","525.4","6.21","1.05","<0.002","<0.011","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.515","9.21","34.9","35.8","10.4","8.37","2.07","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-06",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.667","448.9","7.51","0.575","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","1.14","10.4","26.8","32.6","8.35","11.41","3.1","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-07",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.378","319.3","4.82","0.387","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","4.78","9.98","19.8","27.6","6.95","9.4","1.98","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-08",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.104","412.8","7.3","0.224","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.411","5.3","42.2","44.9","17.9","12.7","4.86","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-10",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","<0.007","113.8","1.89","0.134","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.496","1.76","9.14","10.61","3.2","4.08","1.13","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-11",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.396","805.4","10.9","0.879","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.385","8.58","47.3","57.1","16.9","16.5","3.77","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-12",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.419","872.6","11.6","0.745","<0.002","0.036","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","2.65","13.3","49.1","57.7","11.6","13.9","2.5","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCR-CT-13",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Charity Reef",44.02965663,-83.43601685,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.27","562.2","13","0.439","<0.002","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.175","5.99","30.7","38.8","13.8","12","2.87","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCDF-CT-01",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.219","1906","24.4","1.11","0.062","0.321","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.377","16.6","91.1","99.4","22.9","23.1","5.65","<0.01","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#1 Su et al (2017)","14-SBCDF-CT-03",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Confined Disposal Facility",43.66677163,-83.82564157,NA,NA,"Aves","Caspian tern","Eggs",1,1,NA,2014,"<0.014","0.215","627","9.12","0.509","0.022","<0.003","<0.027","<0.018","<0.075","<0.060","<0.025","<0.038","0.259","9.15","41.5","44.9","13.1","11.5","2.98","<0.003","<0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
